Breed name	Abbreviation	Sample size	Group	Location	Longitude (E)	 Latitude (N)
aletaibaitou	ALT	50	NW	Altay, Xinjiang, China	88.14	47.84
Angus	ANG	43	EUR	Angus, UK	-2.89	56.69
apeijiaza	AP	25	TIB	Linzhi, Xizang,  China	94.36	29.65
BelgianBlue	BLGB	23	EUR	Bruxelles, Belgium	5.31	50.81
bohaihei	BHH	50	CEN	Wudi, Shandong, China	117.61	37.77
Brahman	BRM	44	AMR	New Mexico and Texas, USA	-106.43	31.66
chaidamu	CDM	48	TIB	Chaidamu, Qinghai, China	94.75	37.55
Charolaise	CRL	50	EUR	Charlotte, France	2.4	48.92
dengchuan	DC	49	SW	Eryuan, Yunan, China	99.76	25.78
dianzhong	DZ	50	SW	Chuxiong, Yunan, China	101.37	25.2
diqing	DQ	38	SW	Diqing, Yunnan, China	99.27	28.21
ebianhua	EBH	50	SW	Liangshan, Sichuan, China	102.25	27.87
fuzhou	FZ	41	NE	Fuzhou, Liaoning, China	122.01	39.63
ganzi	GZ	50	SW	Ganzi, Sichuan, China	101.95	30.05
guangfeng	GF	46	SE	Shangrao, Anhui, China	118.18	28.42
hasake	HSK	50	NW	Altay, Xinjiang, China	90.25	46.1
Hereford	HFD	49	EUR	Hayford , UK	-0.13	51.51
Holstein	HST	50	EUR	Amsterdam, Netherlands	4.89	52.43
jiangcheng	JC	43	SW	Puer, Yunnan, China	101.86	22.58
jiaxianhong	JX	50	CEN	Pingdingshan, Henan, China	113.3	33.72
jinnan	JNN	50	CEN	Yuncheng,  Shanxi, China	111.28	35.45
leiqiongguangdong	LQ_G	41	SOU	Leizhou, Guangdong, China	109.73	20.74
liangshan	LS	43	SW	Liangshan, Sichuan, China	101.91	27.74
Limousin	LMS	49	EUR	Limousin, France	1.45	45.9
longlin	LL	47	SW	Longlin, Guangxi, China	105.34	24.78
luxi	LX	46	CEN	Jining,Shandong, China	116.04	35.31
menggu	MG	47	NE	Hulunbuir, Inner Mongolia, China	116.53	45.1
mengshan	MS	48	CEN	Linyi, Shandong, China	118.29	35.12
minnan	MN	47	SE	Zhangzhou, Fujian, China	117.72	24.46
nanyang	NY	50	CEN	Nanyang, Henan, China	112.51	32.99
NorwayRed	NWR	10	EUR	Oslo, Norway	10.73	59.92
Piedmont	PDM	47	EUR	Piedmont, Italy	7.57	45.08
pingwu	PW	49	SW	Pingwu, Sichuan, China	104.53	32.41
qinchuan	QC	46	CEN	Baoji, Shaanxi, China	107.38	34.35
rikaze	RKZ	50	TIB	Rikeze, Xizang, China	89.15	29.31
sanjiang	SJ	47	SW	Aba, Sichuan, China	103.42	30.92
Short_horn	SH	50	EUR	Northumberland, UK	-0.54	53.24
Simmental	SM	49	EUR	Alps, Switzerland	8.54	47.37
SouthDevon	SD	50	EUR	South Devonshire, UK	-5.27	50.16
SwissBrown	SB	24	EUR	Kanton Wallis, Switzerland	8.54	47.37
Wagyu	WG	49	JP	Okayama, Japan	133.92	34.65
wannan	WAN	39	SE	Yixian, Anhui, China	118.25	30.27
wenlinggaofeng	WLGF	50	SE	Wenling, Zhejiang, China	121.39	28.37
xizang	TIB	45	TIB	Lhasa, Xizang, China	91.12	29.65
xuzhou	XZ	43	CEN	Xuzhou, Jiangsu, China	117.12	34.23
yanbian	YB	45	NE	Yanbian, Jilin, China	129.51	42.89
yunnangaofeng	YNGF	36	SW	Dehong, Yunnan, China	101.76	25.12
zaosheng	ZS	50	CEN	Qingyang, Gansu, China	107.33	36.17
zhoushan	ZHS	47	SE	Zhoushan, Zhejiang, China	122.36	29.93
